Кандидат социологических наук	12
Кандидат политических наук	14
Кандидат экономических наук	65
Кандидат психологических наук	5
Доктор философских наук	4
Кандидат исторических наук	11
Доктор физико-математических наук	5
Кандидат филологических наук	2
Кандидат медицинских наук	4
Доктор юридических наук	6
Кандидат сельскохозяйственных наук	3
Доктор педагогических наук	3
Кандидат педагогических наук	6
Доктор экономических наук	25
Кандидат военных наук	1
Кандидат географических наук	1
Кандидат технических наук	17
Доктор политических наук	4
Доктор медицинских наук	7
Доктор географических наук	1
Доктор ветеринарных наук	1
Доктор инжиниринга	1
Доктор сельскохозяйственных наук	1
Доктор исторических наук	3
Кандидат юридических наук	22
Кандидат физико-математических наук	2
Доктор социологических наук	3
Доктор технических наук	7
Кандидат биологических наук	2
Кандидат философских наук	4
