Уфимский нефтяной институт	5
Некоммерческий центр обучения Московская школа экономики	1
Институт повышения квалификации РК Генеральной прокуратуры РФ	1
Высшая школа управления при Государственной академии управления им. С. Орджоникидзе	1
Самарский экономический институт	1
Новосибирская высшая партийная школа	2
Уральский государственный горный университет (г.Екатеринбург)	1
Харьковский институт инженеров коммунального строительства	1
Московский коммерческий институт	1
Военная академия Генерального штаба Вооруженных Сил Российской Федерации	6
Северо-Западная академия государственной службы	3
Вятский государственный гуманитарный университет	1
Гуманитарный институт телевидения и радиовещания им. М.А. Литовчина	1
Новосибирское высшее военно-политическое общевойсковое училище	1
Факультет переподготовки и повышения квалификации Военной академии Генерального Штаба Вооруженных Сил	3
Российский государственный гуманитарный университет	1
Тульский государственный педагогический университет им. Л.Н. Толстого	1
Чеченский государственный университет	2
Орджоникидзевское зенитно-ракетное училище ПВО	1
Кировский государственный педагогический институт им. В.И. Ленина	1
Негосударственное образовательное учреждение высшего профессионального образования &quot;Санкт-Петербургская	1
Таганрогский радиотехнический институт	1
Горьковский инженерно-строительный институт им.В.П. Чкалова	1
Башкирский государственный университет имени 40-летия Октября	2
Университет дружбы народов им. Патриса Лумумбы	1
Высшие курсы Военной академии Генерального штаба Вооруженных Сил Российской Федерации	1
Львовский политехнический институт им. Ленинского комсомола	1
Калининградский государственный университет	1
Институт переподготовки и повышения квалификации кадров по финансово-банковским специальностям Финансов	3
Аспирантура Московского института управления им. С. Орджоникидзе	1
Саратовский экономический институт	1
Оренбургское высшее военное авиационное училище летчиков им. И.С. Полбина	1
Аспирантура Института мировой экономики и международных отношений Академии наук СССР	1
Московский авиационный институт (Государственный технический университет) &quot;МАИ&quot;	1
Ивановский государственный медицинский институт им. А.С. Бубнова	1
Ростовская межобластная высшая партийная школа	3
Марганцевский горный техникум	1
Всероссийская академия внешней торговли Министерства торговли Российской Федерации	1
Московский государственный университет сервиса	2
Дагестанский государственный университет	2
Воронежский сельскохозяйственный институт	1
Новочеркасский политехнический институт им. Серго Орджоникидзе	3
Российский государственный торгово-экономический университет	1
МАТИ - Российский государственный технологический университет им. К.Э. Циолковского	1
Иркутская государственная экономическая академия	2
Высшая школа тренеров ИПК и ПК Российской государственной академии физической культуры	1
Московская сельскохозяйственная академия им. К.А. Тимирязева	1
Ленинградский электротехнический институт им. В.И. Ульянова (Ленина)	1
Арзамасский государственный педагогический институт им. А.П. Гайдара	1
Московский государственный университет им. М.В. Ломоносова (институт восточных языков)	1
Харьковский политехнический институт им. В.И.Ленина	1
Школа летчиков-испытателей Министерства авиационной промышленности СССР	1
Аспирантура Высшей школы Комитета государственной безопасности СССР	1
Академия управления &quot;ТИСБИ&quot;	1
Ростовский юридический институт МВД России	1
Ставропольский университет	1
Ульяновское гвардейское высшее танковое командное училище им. В.И. Ленина	1
Магнитогорский горно-металлургический институт им. Г.И. Носова	2
Казанский сельскохозяйственный институт им. М. Горького	1
Татарский институт содействия бизнесу	1
Заочная высшая партийная школа при ЦК КПСС	1
Российский институт государственных регистраторов при Минюсте России	1
Российская экономическая академия им. Г.В. Плеханова	3
Саратовский государственный медицинский институт	1
Пермский государственный университет им. А.М. Горького	1
Рязанское высшее воздушно-десантное командное училище им. Ленинского комсомола	2
Уральский государственный технический университет	1
Ростовский государственный университет	6
Липецкий государственный педагогический институт	1
Санкт-Петербургский государственный инженерно-экономический университет	1
Осинниковский горный техникум	1
Рязанский сельскохозяйственный институт им. профессора П.А. Костычева	1
Марксовский техникум механизации сельского хозяйства	1
Саратовский государственный социально-экономический университет	1
Чувашский государственный университет им. И.Н. Ульянова	1
Российская академия адвокатуры	2
Ростовский-на-Дону институт народного хозяйства	3
Московский институт управления им. С. Орджоникидзе	2
Ноябрьский нефтяной техникум	1
Санкт-Петербургский международный институт менеджмента	1
Ростовская высшая партийная школа	5
Ленинградский кораблестроительный институт	2
Московский экономико-статистический институт	1
Томский медицинский институт	1
Тюменский индустриальный институт им.Ленинского комсомола	2
Благовещенский государственный педагогический институт им. М.И. Калинина	1
Казанский авиационный институт им. А.Н. Туполева	1
Челябинский политехнический институт им. Ленинского комсомола	4
Куйбышевский металлургический техникум	1
Алтайский государственный медицинский институт	1
Уральский социально-политический институт	1
факультет переподготовки и повышения квалификации Военной академии Генерального штаба ВС РФ	2
ВТУЗ при Ленинградском металлическом заводе им. XXII съезда КПСС	1
Кабардино-Балкарский государственный университет	4
Казанский государственный финансово-экономический институт	2
Рязанский государственный педагогический институт	1
факультет переподготовки руководящих кадров Межотраслевого института повышения квалификации при Ленингр	1
Всесоюзный институт повышения квалификации руководящих работников Минводхоза СССР	1
Российский государственный медицинский университет	1
Специальный факультет Московского горного института	1
Ленинградское высшее военно-политическое училище ПВО им. Ю.В. Андропова	1
Томский институт переподготовки кадров и агробизнеса	1
Алтайский государственный университет	1
Волгоградский государственный университет	1
Иркутский государственный институт усовершенствования врачей	1
Кубанский государственный университет	3
Ижевский механический институт	1
Славянский государственный педагогический институт	1
Краснодарский государственный педагогический институт им.15-летия ВЛКСМ	1
Московский авиационный технологический институт им. К.Э. Циолковского	1
Московский государственный педагогический институт им. В.И. Ленина	1
Новосибирский электротехнический институт	1
Восточный институт экономики, гуманитарных наук, управления и права	1
Брянский технологический институт	2
Днепропетровский горный техникум Министерства угольной промышленности СССР	1
Военная академия тыла и транспорта	2
Военный инженерный институт им. А.Ф. Можайского	2
Нижегородский государственный университет им. Н.И. Лобачевского	2
Военно-морская академия имени Маршала Советского Союза Гречко А.А.	1
Саратовский государственный медицинский университет	4
Тюменский государственный нефтегазовый университет	1
Московский государственный социальный университет	1
Институт Управления и Бизнеса (г.Махачкала)	2
Рязанское высшее воздушно-десантное командное училище	1
Свердловский государственный медицинский институт	2
Рязанский радиотехнический институт	1
Московский государственный технический университет им. H.Э. Баумана	1
Высшее военно-морское училище им. М.В. Фрунзе	1
Терский сельскохозяйственный техникум	1
Московский кооперативный институт Центросоюза	2
Аспирантура Московского государственного университета им. М.В. Ломоносова	1
Орловский государственный педагогический институт	1
Военно-политическая академия им. В.И. Ленина	7
Государственная академия нефти и газа им. И.М. Губкина	1
Академия труда и социальных отношений	4
Казанский финансово-экономический институт им. В.В. Куйбышева	2
Ленинградское высшее инженерное морское училище им. адмирала C.О. Макарова	1
Башкирская академия государственной службы и управления	1
Юридический институт МВД России (г.Москва)	1
Костромской сельскохозяйственный институт	1
Московский государственный университет экономики, статистики и информатики	3
Томский государственный архитектурно-строительный университет	1
Московский энергетический институт	1
Омский государственный университет	1
Смоленский государственный институт физической культуры	1
Орловская региональная академия государственной службы (Белгородский филиал)	1
Киевский государственный институт физической культуры	1
Башкирский сельскохозяйственный институт	1
Сибирский технологический институт	1
Российский государственный университет имени Иммануила Канта	1
Московский государственный институт международных отношений МИД России	1
Российская медицинская академия последипломного образования Росздрава	1
Московский финансовый институт	2
Пензенский государственный педагогический институт им. В.Г.Белинского	1
Пермский государственный медицинский институт	1
Российская академия государственной службы при Президенте Российской Федерации Северо-Западная академия	1
Всесоюзный заочный политехнический институт	2
Таганрогский металлургический техникум	1
Воронежский государственный педагогический институт	1
Московский университет Министерства внутренних дел Российской Федерации	1
Пермский государственный педагогический институт	1
Высшие курсы Комитета государственной безопасности СССР	1
Балашовский государственный педагогический институт	1
Государственное образовательное учреждение высшего профессионального образования &quot;Северо-Западная акаде	1
Алтайский политехнический институт им. И.И. Ползунова	2
Оренбургский политехнический институт	2
Ярославский государственный университет	1
Институт финансов и права, г. Махачкала	1
Великолукский государственный институт физической культуры	1
Сибирский институт бизнеса, управления и психологии	1
Академия народного хозяйства при Правительстве Российской Федерации	14
Университет марксизма-ленинизма МГК КПСС	1
Грозненский нефтяной институт им. академика М.Д. Миллионщикова	2
Дагестанский государственный медицинский институт	1
Ленинградская высшая партийная школа	3
Военно-транспортный университет железнодорожных войск	1
Аспирантура 2-го Московского государственного медицинского института им. Н.И. Пирогова	1
Башкирский государственный медицинский институт им. XV-летия ВЛКСМ	1
Челябинский институт экономики и права	1
Орджоникидзевское высшее общевойсковое командное училище	1
Ростовский государственный университет им. М.А. Суслова	1
Уральский лесотехнический институт	1
Тамбовский государственный педагогический институт	1
Московский автомобильно-дорожный институт (государственный технический университет)	1
Всесоюзный сельскохозяйственный институт заочного образования	2
Новосибирская государственная академия водного транспорта	1
Калмыцкий государственный университет	1
Сочинский государственный университет туризма и курортного дела	1
Мордовский государственный университет им. Н.П. Огарева	1
Оренбургский сельскохозяйственный институт	1
Государственный музыкально-педагогический институт им. Гнесиных	1
Академия управления МВД России	1
Кировский политехнический институт	1
Барнаульский государственный педагогический институт	1
Узбекский государственный институт физической культуры	1
Горьковская высшая партийная школа	1
Поволжская академия государственной службы	1
Челябинский государственный технический университет	1
Уральская государственная академия физической культуры	3
Центральная объединенная летно-техническая школа ДОСААФ СССР	1
Всесоюзный заочный финансово-экономический институт	4
Санкт-Петербургский государственный морской технический университет	1
Институт бизнеса и делового администрирования Академии народного хозяйства при Правительстве Российской	1
Поволжский социально-политический институт	1
Центр правовой переподготовки при Гуманитарной академии Вооруженных Сил РСФСР	1
Заочный институт советской торговли	1
Башкирская академия государственной службы и управления при Президенте Республики Башкортостан	5
Омский государственный институт физической культуры	1
Коломенский педагогический институт	1
Российский государственный педагогический университет им. А.И. Герцена	1
Российско-канадский учебный центр по переподготовке кадров для ТЭК на базе Московского экономико-энерге	1
Академия МВД СССР	7
Высшая школа КГБ СССР им. Ф.Э. Дзержинского	4
Волгоградский государственный педагогический институт	1
Пензенский государственный педагогический университет им. В.Г.Белинского	1
Государственный университет - Высшая школа экономики, Нижегородский филиал	1
Ростовский-на-Дону институт инженеров железнодорожного транспорта	1
Брянский государственный педагогический  институт им. академика И.Г. Петровского	1
Саратовский институт механизации сельского хозяйства им. М.И. Калинина	1
Академический правовой университет при Институте государства и права Российской Академии наук	1
Волгоградский политехнический институт	1
Красноярский филиал Иркутского института народного хозяйства	1
Прокопьевский горный техникум	1
факультет организаторов промышленного производства Уральского политехнического института им. С.М. Киров	1
Военная академия им. М.В. Фрунзе	7
Ленинградский государственный университет им. А.А. Жданова	7
Финансовая академия при Правительстве Российской Федерации	3
Московский государственный институт международных отношений МИД СССР	2
Дальневосточный государственный университет	1
Новосибирский инженерно-строительный институт им. В.В. Куйбышева	2
Новосибирское высшее военно-политическое общевойсковое училище им. 60-летия Великого Октября	1
Государственная академия инноваций	1
Международный  бухгалтерский университет	1
Саратовский юридический институт им. Д.И. Курского	1
Московский институт радиотехники, электроники и автоматики	2
Саратовская высшая партийная школа	2
Серноводский сельскохозяйственный техникум	1
Академия народного хозяйства при Совете Министров СССР	1
Северо-Осетинский государственный университет им. К.Л. Хетагурова	2
Якутский государственный университет	1
Хакасский государственный университет им. Н.Ф. Катанова	1
Златоустовский техникум советской торговли	1
Ставропольская государственная сельскохозяйственная академия	1
Юридический институт Министерства внутренних дел Российской Федерации	1
Военная академия Генерального штаба ВС РФ	2
Санкт-Петербургская академия управления  и экономики	2
Новосибирская межобластная высшая партийная школа	1
Новосибирский техникум физической культуры	1
Орджоникидзевское военное училище им. С.М. Кирова МООП РСФСР	1
Киевский торгово-экономический институт	1
Тартуский государственный университет	1
Ставропольский сельскохозяйственный институт	1
Вечерний университет марксизма-ленинизма при Казанском гарнизонном Доме офицеров	1
Куйбышевский политехнический институт им. В.В. Куйбышева	2
Ленинградский государственный областной университет им. А.С. Пушкина	2
Военная академия Генерального штаба Вооруженных Cил СССР  им. К.Е. Ворошилова	4
Одесская государственная морская академия	1
