href	name	url	color	vote_result	votes
/vote/79507	(за основу) О проекте порядка работы Государственной Думы на 23 ноября 2012 года	http://vote.duma.gov.ru/vote/79507	green	Принят|За: 372 чел (83%)	Против: 0, Воздержалось: 1
/vote/79509	Предложение деп. Жириновского О проекте порядка работы Государственной Думы на 23 ноября 2012 года	http://vote.duma.gov.ru/vote/79509	red	Отклонен(не набран кворум)	За: 67, Против: 37, Воздержалось: 0
/vote/79511	Пункт 17. вернуть во 2 чтение О проекте федерального закона № 47244-6 "О контроле за соответствием расходов лиц, замещающих государственные должности, и иных лиц их доходам"	http://vote.duma.gov.ru/vote/79511	green	Принят|За: 312 чел (69%)	Против: 0, Воздержалось: 2
/vote/79433	(вернуть во 2 чтение) О проекте федерального закона № 47266-6 "О внесении изменений в отдельные законодательные акты Российской Федерации в связи с принятием Федерального закона "О контроле за соответствием расходов лиц, замещающих государственные должности, и иных лиц их доходам"	http://vote.duma.gov.ru/vote/79433	green	Принят|За: 322 чел (72%)	Против: 0, Воздержалось: 0
/vote/79435	(вернуть во 2 чтение) О проекте федерального конституционного закона № 47238-6 "О внесении изменений в статью 10 Федерального конституционного закона "О Правительстве Российской Федерации"	http://vote.duma.gov.ru/vote/79435	green	Принят|За: 377 чел (84%)	Против: 0, Воздержалось: 0
/vote/79437	(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 143350-6 "О внесении изменений в отдельные законодательные акты Российской Федерации по вопросам обязательного пенсионного страхования"	http://vote.duma.gov.ru/vote/79437	green	Принят|За: 325 чел (72%)	Против: 0, Воздержалось: 1
/vote/79439	(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 62348-6 "О внесении изменений в статью 263 Федерального закона "Об общих принципах организации законодательных (представительных) и исполнительных органов государственной власти субъектов Российской Федерации" и Трудовой кодекс Российской Федерации" (в части совершенствования порядка подготовки проектов и заключения соглашений на соответствующих уровнях социального партнерства)	http://vote.duma.gov.ru/vote/79439	green	Принят|За: 240 чел (53%)	Против: 0, Воздержалось: 0
/vote/79441	(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 64005-6 "О внесении изменений в статью 20.3 Кодекса Российской Федерации об административных правонарушениях и статью 1 Федерального закона "О противодействии экстремистской деятельности" (в части установления ответственности за публичное демонстрирование атрибутики или символики экстремистских организаций)	http://vote.duma.gov.ru/vote/79441	green	Принят|За: 309 чел (69%)	Против: 1, Воздержалось: 0
/vote/79444	(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 607441-5 "О внесении изменений в Федеральный закон "О физической культуре и спорте в Российской Федерации" (в части совершенствования деятельности спортивных федераций)	http://vote.duma.gov.ru/vote/79444	green	Принят|За: 330 чел (73%)	Против: 0, Воздержалось: 2
/vote/79446	(2 чтение таб. 1 принятые поправки) О проекте федерального закона № 53700-6 "О внесении изменений в Уголовный кодекс Российской Федерации и отдельные законодательные акты Российской Федерации" (в части дифференциации мошенничества на отдельные составы)	http://vote.duma.gov.ru/vote/79446	green	Принят|За: 233 чел (52%)	Против: 0, Воздержалось: 0
