_id	faction	letter	name	url	vote_stats.absent	vote_stats.abstain	vote_stats.no	vote_stats.yes
50e111f5052d3f3584b2f932	КПРФ	А	Алимова Ольга Николаевна	/?convocation=AAAAAAA6&deputy=99111779	609	2	91	875
50e111f5052d3f3584b2f990	СР	Д	Дмитриева Оксана Генриховна	/?convocation=AAAAAAA6&deputy=99100128	549	1	120	907
50e111f6052d3f3584b2f9fe	ЛДПР	Л	Литвинцев Дмитрий Алексеевич	/?convocation=AAAAAAA6&deputy=99111881	794		12	771
50e111f6052d3f3584b2fa31	ЛДПР	Н	Нилов Ярослав Евгеньевич	/?convocation=AAAAAAA6&deputy=99110213	763	2	14	798
50e11568052d3f362813ba06	ЕР	К	Климов Андрей Аркадьевич	/?convocation=AAAAAAA6&deputy=99100647	365		6	462
50e1156a052d3f362813ba07	ЕР	Я	Яковлева Татьяна Владимировна	/?convocation=AAAAAAA6&deputy=99100670	336		16	406
50e1156e052d3f362813ba08	ЕР	М	Морозов Олег Викторович	/?convocation=AAAAAAA6&deputy=99100452	335	1	7	301
50e1156e052d3f362813ba09	ЕР	С	Семёнова Екатерина Юрьевна	/?convocation=AAAAAAA6&deputy=99111051	322		18	304
50e11577052d3f362813ba0a	ЕР	Б	Бокова Людмила Николаевна	/?convocation=AAAAAAA6&deputy=99111796	117		16	219
50e11577052d3f362813ba0b	ЕР	З	Зеренков Валерий Георгиевич	/?convocation=AAAAAAA6&deputy=99107555	110		23	219
50e11577052d3f362813ba0c	ЛДПР	О	Островский Алексей Владимирович	/?convocation=AAAAAAA6&deputy=99100584	170		3	179
50e11577052d3f362813ba0d	ЕР	Э	Эм Юрий Павлович	/?convocation=AAAAAAA6&deputy=99111979	104		16	232
50e1157a052d3f362813ba0e	ЕР	К	Канчер Сергей Васильевич	/?convocation=AAAAAAA6&deputy=99112017	77		16	160
50e1157d052d3f362813ba0f	ЕР	К	Косачев Константин Иосифович	/?convocation=AAAAAAA6&deputy=99100766	54		11	103
50e1157e052d3f362813ba10	ЕР	П	Прокопенко Тимур Валентинович	/?convocation=AAAAAAA6&deputy=99110429	44		11	91
50e1157e052d3f362813ba11	ЕР	А	Амирилаев Адам Баширович	/?convocation=AAAAAAA6&deputy=99110908	43		8	79
50e1157f052d3f362813ba12	ЕР	Б	Боженов Сергей Анатольевич	/?convocation=AAAAAAA6&deputy=99112005	27		8	55
50e11581052d3f362813ba13	КПРФ	С	Стародубцев Василий Александрович	/?convocation=AAAAAAA6&deputy=99105843	21			8
50e11582052d3f362813ba14	ЕР	З	Зубарев Виктор Владиславович	/?convocation=AAAAAAA6&deputy=99110967	93		2	170
50e11583052d3f362813ba15	ЛДПР	К	Катасонов Сергей Михайлович	/?convocation=AAAAAAA6&deputy=99112236	11			21
50e111f6052d3f3584b2fa18	СР	М	Миронов Сергей Михайлович	/?convocation=AAAAAAA6&deputy=99107891	605	1	103	868
50e111f5052d3f3584b2f946	ЕР	Б	Баталова Рима Акбердиновна	/?convocation=AAAAAAA6&deputy=99111789	614		23	940
50e111f6052d3f3584b2fa8d	КПРФ	С	Собко Сергей Васильевич	/?convocation=AAAAAAA6&deputy=99109959	667		87	823
50e111f5052d3f3584b2f959	СР	Б	Бычкова Евдокия Ивановна	/?convocation=AAAAAAA6&deputy=99111984	564	1	111	901
50e111f6052d3f3584b2fa84	КПРФ	С	Симагин Владимир Александрович	/?convocation=AAAAAAA6&deputy=99111944	652	1	92	832
50e111f6052d3f3584b2f9fd	ЕР	Л	Липатов Юрий Александрович	/?convocation=AAAAAAA6&deputy=99100756	603		30	944
50e111f6052d3f3584b2faca	ЛДПР	Ч	Чиркова Ирина Александровна	/?convocation=AAAAAAA6&deputy=99111970	804	3	12	758
50e111f6052d3f3584b2fab8	ЕР	Х	Хайруллин Айрат Назипович	/?convocation=AAAAAAA6&deputy=99109928	605		29	943
50e111f6052d3f3584b2fa1a	ЕР	М	Михалев Борис Владимирович	/?convocation=AAAAAAA6&deputy=99111478	620		21	936
50e111f5052d3f3584b2f996	СР	Д	Драпеко Елена Григорьевна	/?convocation=AAAAAAA6&deputy=99100799	575	1	106	895
50e111f5052d3f3584b2f92d	СР	А	Агеев Александр Александрович	/?convocation=AAAAAAA6&deputy=99109965	580	6	101	890
50e111f6052d3f3584b2fa8e	ЛДПР	С	Соболев Виктор Васильевич	/?convocation=AAAAAAA6&deputy=99110647	756	1	14	806
50e111f6052d3f3584b2f9f6	ЛДПР	Л	Лебедев Игорь Владимирович	/?convocation=AAAAAAA6&deputy=99100750	817	2	15	743
50e111f5052d3f3584b2f999	ЕР	Е	Езубов Алексей Петрович	/?convocation=AAAAAAA6&deputy=99110954	599	1	35	942
50e111f6052d3f3584b2fa6f	ЕР	С	Савельев Дмитрий Владимирович	/?convocation=AAAAAAA6&deputy=99100690	614	1	18	944
50e111f6052d3f3584b2f9e5	ЕР	К	Кретов Александр Владимирович	/?convocation=AAAAAAA6&deputy=99111866	593		41	943
50e111f5052d3f3584b2f94f	ЕР	Б	Борзова Ольга Георгиевна	/?convocation=AAAAAAA6&deputy=99110064	613		22	942
50e111f6052d3f3584b2f9ab	ЛДПР	З	Золочевский Виталий Сергеевич	/?convocation=AAAAAAA6&deputy=99111176	777	1	13	786
50e111f6052d3f3584b2fad8	ЕР	Ш	Шойгу Лариса Кужугетовна	/?convocation=AAAAAAA6&deputy=99111084	587		46	944
50e111f5052d3f3584b2f96f	ЕР	Г	Гаджиев Магомед Тажудинович	/?convocation=AAAAAAA6&deputy=99110082	598		34	945
50e111f6052d3f3584b2f9b5	КПРФ	И	Иконников Василий Николаевич	/?convocation=AAAAAAA6&deputy=99111842	604		95	878
50e111f5052d3f3584b2f92c	КПРФ	А	Агаев Ваха Абуевич	/?convocation=AAAAAAA6&deputy=99111987	696	2	88	791
50e111f6052d3f3584b2fa4e	ЕР	П	Поддубный Сергей Анатольевич	/?convocation=AAAAAAA6&deputy=99112008	600		36	941
50e111f6052d3f3584b2f9e9	СР	К	Крутов Андрей Дмитриевич	/?convocation=AAAAAAA6&deputy=99111869	530	1	109	937
50e111f6052d3f3584b2fa7a	ЛДПР	С	Свиридов Валентин Валентинович	/?convocation=AAAAAAA6&deputy=99100609	791		14	772
50e111f5052d3f3584b2f93c	ЛДПР	А	Афанасьева Елена Владимировна	/?convocation=AAAAAAA6&deputy=99110040	794	1	13	769
50e111f6052d3f3584b2fa4a	ЕР	П	Пимашков Петр Иванович	/?convocation=AAAAAAA6&deputy=99111922	593		41	943
50e111f5052d3f3584b2f982	КПРФ	Г	Гостев Руслан Георгиевич	/?convocation=AAAAAAA6&deputy=99100108	559	1	99	918
50e111f5052d3f3584b2f99f	ЕР	Ж	Железняк Сергей Владимирович	/?convocation=AAAAAAA6&deputy=99110957	597	1	38	941
50e111f6052d3f3584b2f9d6	ЕР	К	Колесник Андрей Иванович	/?convocation=AAAAAAA6&deputy=99111862	611		31	935
50e111f6052d3f3584b2fa74	КПРФ	С	Сапожников Николай Иванович	/?convocation=AAAAAAA6&deputy=99105417	568	1	99	909
50e111f6052d3f3584b2f9d2	ЕР	К	Кобзон Иосиф Давыдович	/?convocation=AAAAAAA6&deputy=99102913	614		30	933
